mainlocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm,land_price
الرياض,حي النسيم الغربي,شمال,سكني,10.0,360,1400,504000
الرياض,حي العقيق,جنوب,سكني,20.0,3000,3500,10500000
الرياض,حي النرجس,شمال,سكني,36.0,800,3750,3000000
الرياض,حي الرمال,شمال,سكني,20.0,625,2200,1375000
الخبر,حي العقيق,شرق,سكني أو تجاري,20.0,715,909,649935
الرياض,حي المهدية,غرب,سكني,20.0,900,1200,1080000
الرياض,حي حطين,جنوب,سكني,15.0,385,4000,1540000
الرياض,حي الحمراء,شرق,سكني,20.0,1237,3200,3958400
الرياض,حي اليرموك,شرق,سكني,20.0,638,2500,1595000
الرياض,حي القدس,غرب,تجاري,35.0,13571,3500,47498500
الرياض,حي الربوة,3 شوارع,سكني,20.0,1479,4259,6299061
الرياض,حي النرجس,3 شوارع,تجاري,60.0,1283,4300,5516900
الرياض,حي النرجس,جنوب شرقي,سكني,20.0,900,3200,2880000
الرياض,حي المهدية,جنوب غربي,سكني,20.0,575,1500,862500
الرياض,حي الحمراء,شمال,سكني,30.0,1125,3450,3881250
الرياض,حي الواحة,جنوب,سكني,20.0,600,3900,2340000
الرياض,حي ظهرة لبن,شمال,سكني,20.0,500,1200,600000
الرياض,حي الملقا,3 شوارع,سكني,25.0,600,4700,2820000
الرياض,حي المونسية,شرق,تجاري,35.0,750,3100,2325000
الرياض,حي عرقة,غرب,سكني,12.0,416,2500,1040000
الرياض,حي المحمدية,3 شوارع,سكني,20.0,7710,3300,25443000
الرياض,حي قرطبة,غرب,سكني,15.0,690,2650,1828500
الرياض,حي الملقا,4 شوارع,سكني,28.0,14000,4800,67200000
جدة,حي الفيصلية,غرب,تجاري,40.0,3858,4924,18996792
الخبر,حي الكوثر,شمال شرقي,سكني,20.0,1350,555,749250
الرياض,حي الملقا,4 شوارع,سكني,25.0,17072,3550,60605600
الهفوف,حي الطرف,شمال شرقي,سكني,15.0,753,250,188250
جدة,حي الصالحية,غرب,سكني,15.0,868,1382,1199576
الخبر,حي الشراع,جنوب,سكني,20.0,312,1185,369720
بريدة,حي الصفراء,جنوب,سكني أو تجاري,30.0,660,1700,1122000
جازان,حي الزهور,جنوب غربي,تجاري,60.0,15000,55,825000
الرياض,حي عليشة,جنوب,سكني,20.0,899,1950,1753050
الرياض,حي طيبة,3 شوارع,سكني,15.0,7190,350,2516500
الرياض,حي المهدية,شمال غربي,تجاري,35.0,400,1500,600000
جازان,حي الصفا,جنوب,سكني,15.0,630,800,504000
الرياض,حي الصحافة,جنوب,تجاري,60.0,1854,6300,11680200
الرياض,حي المهدية,شرق,سكني,20.0,690,1200,828000
جدة,حي ابحر الشمالية,شرق,سكني,20.0,552,2445,1349640
الرياض,حي النخيل,شمال شرقي,سكني,30.0,1500,5000,7500000
الرس,حي الشفاء,شرق,تجاري,30.0,400,875,350000
الرياض,حي طيبة,جنوب شرقي,سكني,15.0,2000,1350,2700000
خميس مشيط,حي الواحة,جنوب,سكني,20.0,700,428,299600
احد رفيده,حي العزيزية,جنوب,سكني,12.0,576,651,374976
ابها,حي السروات,جنوب,سكني,15.0,1210,99,119790
صامطة,حي الجرادية,جنوب,سكني أو تجاري,15.0,660,190,125400
الخبر,حي الخزامى,جنوب غربي,سكني,40.0,1076,1100,1183600
الزلفي,حي علقة,شرق,سكني,15.0,787,216,169992
الرياض,حي حطين,3 شوارع,سكني,30.0,4200,7142,29996400
الدمام,حي الفيصلية,شمال شرقي,تجاري,100.0,1307,3000,3921000
الخبر,حي الحمرا,جنوب غربي,سكني,30.0,2301,3000,6903000
الدرعية,حي الدرعية الجديدة,جنوب,سكني,15.0,6000,450,2700000
الرياض,حي الرحمانية,3 شوارع,سكني,12.0,540,3500,1890000
الرياض,حي النخيل,غرب,سكني,15.0,425,5100,2167500
الدرعية,حي الخالدية,جنوب شرقي,سكني أو تجاري,20.0,775,3900,3022500
ثول,حي ثول,شمال,سكني أو تجاري,25.0,1800,97,174600
الرياض,حي المهدية,شمال,سكني,10.0,900,1900,1710000
الرياض,حي المغرزات,3 شوارع,سكني أو تجاري,30.0,1980,4000,7920000
الرياض,حي المرسلات,شرق,سكني,15.0,375,3733,1399875
الرياض,حي حطين,شمال,سكني,15.0,364,4500,1638000
الرياض,حي بنبان,3 شوارع,سكني أو تجاري,30.0,2310,1350,3118500
الرياض,حي بنبان,شمال,تجاري,40.0,1605,1200,1926000
الرياض,حي عريض,جنوب,سكني,15.0,240,833,199920
الرياض,حي الملقا,شمال شرقي,سكني,15.0,400,4400,1760000
الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4200,8820000
الرياض,حي المونسية,جنوب,سكني,18.0,288,2700,777600
الرياض,حي الهدا,جنوب غربي,سكني أو تجاري,20.0,3095,2800,8666000
الرياض,حي عرقة,شمال,سكني,15.0,1050,3200,3360000
الرياض,حي النخيل,شمال,سكني أو تجاري,20.0,750,4000,3000000
الرياض,حي الوادي,شرق,سكني,15.0,300,3300,990000
الرياض,حي النرجس,شمال,سكني,15.0,917,3200,2934400
الدرعية,حي الدرعية الجديدة,جنوب غربي,سكني,50.0,12480,350,4368000
الخرج,حي الفيصلية,جنوب,سكني,20.0,550,550,302500
الرياض,حي الربيع,شمال شرقي,سكني,15.0,676,3910,2643160
الرياض,حي النرجس,جنوب,سكني,15.0,1200,2600,3120000
المدينة المنورة,حي الجماوات,شمال,سكني أو تجاري,20.0,662,1812,1199544
الرياض,حي الملقا,شرق,سكني,25.0,312,4500,1404000
الرياض,حي عرقة,شمال,سكني,20.0,600,2800,1680000
الرياض,حي بنبان,جنوب شرقي,سكني,15.0,744,645,479880
الرياض,حي الهدا,جنوب شرقي,سكني,20.0,3046,2500,7615000
الرياض,حي الملقا,شمال,سكني,20.0,678,4000,2712000
الرياض,حي النرجس,جنوب شرقي,سكني,15.0,1050,3100,3255000
الرياض,حي عرقة,شرق,سكني,15.0,300,3200,960000
الرياض,حي اليرموك,شمال غربي,سكني,15.0,697,2600,1812200
الرياض,حي ظهرة لبن,غرب,تجاري,60.0,900,1772,1594800
الرياض,حي طويق,جنوب,سكني,30.0,651,950,618450
الرياض,حي بنبان,3 شوارع,سكني,20.0,1500,733,1099500
الزلفي,حي عريعرة,غرب,سكني,30.0,630,285,179550
المدينة المنورة,حي شوران,شرق,سكني أو تجاري,64.0,1030,1941,1999230
الخبر,حي الامواج,جنوب,سكني أو تجاري,20.0,510,980,499800
الرياض,حي بنبان,جنوب,سكني,20.0,1757,825,1449525
الرياض,حي بنبان,جنوب,سكني,15.0,750,680,510000
الرياض,حي اليرموك,جنوب شرقي,تجاري,30.0,900,2500,2250000
الرياض,حي الملقا,3 شوارع,سكني,18.0,14212,3300,46899600
الرياض,حي النرجس,شرق,سكني,15.0,900,2600,2340000
الرياض,حي ضاحية نمار,غرب,سكني,20.0,504,793,399672
الرياض,حي الملقا,شمال شرقي,سكني,20.0,900,3800,3420000
الرياض,حي اليرموك,غرب,سكني,15.0,1250,2500,3125000
الرياض,حي الملقا,4 شوارع,سكني,25.0,14816,3700,54819200
الرياض,حي الغدير,شمال شرقي,سكني,15.0,2290,4200,9618000
الرياض,حي الملقا,غرب,تجاري,30.0,1600,4000,6400000
الرياض,حي النرجس,غرب,سكني,15.0,800,3000,2400000
الرياض,حي الياسمين,شمال,تجاري,35.0,2522,4200,10592400
الدرعية,حي الخالدية,جنوب غربي,سكني,40.0,1395,3600,5022000
الرياض,حي النرجس,جنوب,سكني,15.0,1500,3100,4650000
الرياض,حي الملقا,3 شوارع,سكني أو تجاري,60.0,2140,10000,21400000
الرياض,حي الشرق,شمال شرقي,سكني,15.0,1336,300,400800
الرياض,حي الملقا,شمال شرقي,سكني,18.0,611,4300,2627300
الرياض,حي الفلاح,شمال,سكني,20.0,1120,3700,4144000
الرياض,حي المهدية,جنوب,تجاري,36.0,400,1500,600000
الرياض,حي القدس,شمال شرقي,سكني,15.0,958,2800,2682400
الرياض,حي الملقا,3 شوارع,سكني,20.0,9000,3500,31500000
الرياض,حي الملقا,جنوب شرقي,سكني أو تجاري,20.0,800,4500,3600000
الرياض,حي الحزم,3 شوارع,سكني أو تجاري,35.0,5757,1200,6908400
الرس,حي الربوة,شرق,سكني,20.0,2300,352,809600
الرياض,حي الروضة,جنوب,سكني,15.0,720,2400,1728000
الرياض,حي الملقا,شمال,سكني,20.0,900,3300,2970000
الرياض,حي الصحافة,4 شوارع,سكني,15.0,8480,3000,25440000
الرياض,حي العقيق,جنوب,سكني,15.0,750,4000,3000000
الرياض,حي الملقا,شرق,سكني,25.0,675,3530,2382750
المدينة المنورة,حي الملك فهد,شرق,سكني أو تجاري,25.0,625,1168,730000
الرياض,حي الملقا,شرق,سكني,20.0,450,3700,1665000
الرياض,حي الملقا,شمال,سكني,15.0,480,4000,1920000
الرياض,حي النرجس,غرب,سكني,20.0,900,2400,2160000
الخبر,حي العقيق,شرق,سكني,20.0,392,969,379848
الرياض,حي الياسمين,غرب,سكني,15.0,375,3300,1237500
الرياض,حي عريض,شرق,سكني,15.0,500,700,350000
الرياض,حي عرقة,جنوب,سكني,15.0,800,2900,2320000
الرياض,حي الربيع,جنوب,سكني,15.0,510,3850,1963500
الخبر,حي الكوثر,جنوب,سكني,20.0,1339,672,899808
الرياض,حي النخيل,غرب,سكني,15.0,391,4350,1700850
الرياض,حي الياسمين,شمال,سكني,15.0,675,3200,2160000
الرياض,حي النرجس,شمال شرقي,سكني,15.0,336,2500,840000
الرياض,حي الرائد,شمال,سكني,20.0,1500,4300,6450000
الرياض,حي النفل,غرب,سكني أو تجاري,20.0,675,3300,2227500
الرياض,حي الملقا,غرب,سكني,15.0,726,4000,2904000
الرياض,حي النفل,شمال شرقي,سكني,20.0,2100,3350,7035000
الرياض,حي التعاون,شرق,سكني,15.0,625,3760,2350000
بريدة,حي مشعل,غرب,سكني أو تجاري,30.0,1100,850,935000
الرياض,حي الياسمين,شرق,سكني أو تجاري,36.0,1500,4000,6000000
جدة,حي ابحر الشمالية,شرق,سكني,15.0,432,2200,950400
الرياض,حي الياسمين,غرب,سكني,15.0,375,3400,1275000
الدمام,حي ضاحية الملك فهد,شمال,سكني,32.0,575,1304,749800
الرياض,حي النخيل,شمال غربي,سكني,15.0,500,5000,2500000
الرياض,حي الخليج,شرق,سكني,15.0,900,1800,1620000
الرياض,حي الرحمانية,شمال شرقي,سكني,12.0,812,3000,2436000
جدة,حي الامواج,شمال,سكني,15.0,750,2000,1500000
الرياض,حي الرمال,غرب,سكني,15.0,1050,1300,1365000
المدينة المنورة,حي الرانوناء,جنوب,سكني,25.0,980,1200,1176000
الرياض,حي العليا,شمال,سكني,12.0,500,2400,1200000
ثادق,حي الجنادرية,جنوب,سكني,15.0,663,325,215475
الرياض,حي الغدير,غرب,سكني,20.0,750,4000,3000000
الرياض,حي الغدير,جنوب غربي,سكني,20.0,1176,4350,5115600
الرياض,حي القيروان,4 شوارع,سكني,20.0,624,3000,1872000
الرياض,حي الصحافة,شرق,تجاري,20.0,900,7100,6390000
الرياض,حي الملقا,غرب,سكني,15.0,900,4500,4050000
جدة,حي المروة,جنوب غربي,تجاري,100.0,3333,10500,34996500
جدة,حي الفضيلة,شمال غربي,سكني,20.0,600,1333,799800
الرياض,حي بنبان,جنوب,سكني,15.0,375,746,279750
الرياض,حي قرطبة,شمال,سكني,15.0,770,3000,2310000
الرياض,حي الروضة,غرب,سكني,20.0,542,2500,1355000
الرياض,حي الملك فيصل,جنوب,تجاري,60.0,1038,6500,6747000
الرياض,حي الخزامى,شرق,سكني,10.0,400,3500,1400000
الرياض,حي المونسية,شمال,سكني,15.0,4500,2430,10935000
الخبر,حي اللؤلؤ,شمال شرقي,سكني,20.0,750,1050,787500
جازان,حي السويس,شمال,سكني أو تجاري,20.0,624,672,419328
الرياض,حي بنبان,شرق,سكني,20.0,750,720,540000
الرياض,حي الريان,شمال,سكني,15.0,380,3000,1140000
الرياض,حي الرمال,شمال,سكني,20.0,560,2000,1120000
الرياض,حي الشهداء,شمال,سكني أو تجاري,30.0,750,3300,2475000
الرياض,حي الشهداء,3 شوارع,سكني أو تجاري,36.0,3025,4000,12100000
الدرعية,حي الفيصلية,جنوب غربي,سكني,15.0,660,3000,1980000
جدة,حي ابحر الشمالية,شرق,سكني,16.0,462,2489,1149918
الرياض,حي المعيزلة,شمال,سكني,20.0,512,1840,942080
الخبر,حي الرجاء,جنوب شرقي,سكني,40.0,875,880,770000
الرياض,حي بنبان,شرق,سكني أو تجاري,20.0,600,635,381000
الرياض,حي بنبان,شمال,سكني,15.0,397,657,260829
الرياض,حي النرجس,جنوب,سكني,15.0,900,3300,2970000
الدرعية,حي الدرعية الجديدة,شمال,تجاري,15.0,10120,485,4908200
الرياض,حي غرناطة,غرب,سكني,15.0,980,2650,2597000
الخبر,حي اللؤلؤ,شمال,سكني,20.0,480,937,449760
الرياض,حي الياسمين,جنوب شرقي,سكني,20.0,1445,3800,5491000
الرياض,حي النظيم,شمال,سكني,15.0,1250,1010,1262500
الرياض,حي اليرموك,شمال غربي,سكني أو تجاري,36.0,875,2800,2450000
الرياض,حي المهدية,جنوب شرقي,سكني,15.0,483,2100,1014300
الخبر,حي الصواري,شمال,سكني,20.0,900,1000,900000
الرياض,حي الياسمين,جنوب شرقي,سكني,20.0,1445,4000,5780000
الرياض,حي الملقا,غرب,سكني أو تجاري,20.0,713,3500,2495500
الرياض,حي النرجس,شمال شرقي,سكني,20.0,1800,3200,5760000
الرياض,حي بنبان,جنوب شرقي,سكني,15.0,742,768,569856
الرياض,حي عرقة,شمال,سكني,15.0,562,3100,1742200
الرياض,حي الملك عبدالله,3 شوارع,تجاري,30.0,7179,4000,28716000
الرياض,حي الدار البيضاء,جنوب,سكني,15.0,750,1450,1087500
الرياض,حي الرمال,غرب,سكني,20.0,360,1900,684000
الرياض,حي الملقا,جنوب,سكني,20.0,500,3900,1950000
الرياض,حي الملقا,شرق,سكني,18.0,750,4100,3075000
الرياض,حي الملقا,شمال,سكني,25.0,560,4500,2520000
الرياض,حي الرفيعة,غرب,سكني,10.0,480,1600,768000
الخبر,حي اللؤلؤ,شرق,سكني أو تجاري,30.0,480,937,449760
الرياض,حي الياسمين,شمال غربي,سكني,15.0,840,3500,2940000
الخبر,حي اللؤلؤ,شرق,سكني أو تجاري,40.0,787,698,549326
الخبر,حي التحلية,جنوب غربي,سكني,15.0,658,1500,987000
الدرعية,حي شمال الدرعية,جنوب غربي,سكني,18.0,720,3500,2520000
